TIME INTERVALS
	07:32:23	07:32:33	07:32:43	07:32:53	07:33:03	07:33:13	07:33:23	07:33:33	07:33:43	07:33:53	07:34:03	07:34:13	07:34:23	07:34:33	07:34:43	07:34:53	07:35:03	07:35:13	07:35:23	07:35:33	07:35:43	07:35:53	07:36:03	07:36:13	07:36:23	07:36:33	07:36:43	07:36:53	07:37:03	07:37:13	07:37:23	07:37:33	07:37:43	07:37:53	07:38:03	07:38:13	07:38:23	07:38:33	07:38:43	07:38:53	07:39:03	07:39:13	07:39:23	07:39:33	07:39:43	07:39:53	07:40:03	07:40:13	07:40:23	07:40:33	07:40:43	07:40:53	07:41:03	07:41:13	07:41:23	07:41:33	07:41:43	07:41:53	07:42:03	07:42:13	07:42:23	07:42:33	07:42:43	07:42:53	07:43:03	07:43:13	07:43:23	07:43:33	07:43:43	07:43:53	07:44:03	07:44:13	07:44:23	07:44:33	07:44:43	07:44:53	07:45:03	
NEWORD
MIN	6575	6599	9337	11459	12529	11365	11669	7904	11292	11313	12399	12210	11665	8809	11031	11906	7677	12496	9564	11994	12819	11554	11934	6878	7221	11719	11753	7326	11714	10152	10305	8812	8453	11760	9431	8427	11899	12325	12192	9702	12545	11848	2391483	11522	11700	11586	11569	7179	11602	11879	12139	12215	11935	12332	8297	12149	12685	7792	11713	11832	8796	11979	12383	12734	12100	11582	12374	10588	12056	11893	11867	9878	11629	11978	7416	11589	7707	
P50	7108.5	11717	14631	18736	13837	15789	15693	15414	16726	14422.5	19069	15109	13149.5	13290.5	13170	17759	14833.5	15984	15714	22356	14153	15521	14944	17771	19338.5	15645	15558	17900.5	14575.5	19237	15418	16455	14173	14858.5	16567	18218.5	15478	15416.5	20756	15913.5	16436	14701.5	2391483	14586	15867	21954	14660	14770.5	16810	19002.5	13592.5	14581	15796	15806	13777.5	17292	24226.5	14170	14332	16670	16198.5	14696.5	20156	21736.5	14610.5	14202	16821	17835	15131	17694	14498	22215	14222	15380	16362	18762.5	14317.5	
P95	8826	19612	25975	31807	110158	32215	30342	29229	30366	40240	88771	29226	17106	26766	39159	86458.5	30188	93680	29611	514315	29506	31580	30271	107854	30324	29854	30818	31932	29700	33181	28439	267605	27695	30996	108202	35127	283343	27741	58463	56324	29527	303792	2391483	31802	29471	33478	30046	30803	33127	57748	24591	27888	27349	28499	28327	30146	47088	28059	28596	29798	30788	30958	81766	784734	155542	37982.5	32093	39447	30921	29244	29339	42438	30976	24093	29038	26998	27744	
P99	10123	58052	60331	472165	372180	51900	520064	31475	32099	54134	535137	30309	851488	1251610	1251769	137016	279477	262144	30152	587636	29506	264784	32649	919788	536437	269664	266510	369486	540275	42644	76016	543381	29478	534403	808792	58587	285168	34653	87018	549951	31896	508005	2391483	545211	170325	72415	34058	33379	539796	556464	540184	293459	28473	30349	29602	30721	265955	34958	28946	34636	31196	545371	264870	794969	527471	528875	34552	532031	926106	43586	536776	517940	34970	27474	32172	30676	29717	
MAX	132778	63951	325147	722861	372180	289763	520064	285221	37087	54134	535137	565256	851488	1251610	1251769	137016	545631	262144	30152	587636	29506	535342	47834	919788	536437	301546	266510	369486	540275	42644	76016	543381	29478	534403	808792	58587	285168	34653	87018	549951	32187	508005	2391483	556430	170325	72415	71111	50569	539796	556464	540184	293459	30340	30349	474346	30721	265955	536557	29334	34636	334699	545371	264870	794969	527471	534461	34552	532031	926106	346454	536776	517940	38192	27474	32172	30676	29717	
PAYMENT
MIN	6399	6309	6770	8925	11882	12021	11768	8345	12233	11747	6759	11997	6960	11534	11527	6998	7744	8356	9142	12814	12217	11110	8649	11668	10007	11997	11768	12180	12272	7328	11982	7604	12379	11955	7860	10333	8317	7255	12255	12355	9300	12293	11696	11226	10977	7401	8971	9437	9493	11797	12333	12382	11913	11993	12024	8720	11848	9696	11392	6980	11279	11971	12190	11610	11481	12051	10342	12207	11926	12287	11613	11938	12898	11767	7387	11333	
P50	6802	11102	13960.5	16780	20845	14872	18574	14173	14642.5	14025	16840	14666	13278.5	12938	13111	19501	15167	13800	15719.5	20090	22891	15176.5	14853	16021	20769	15373	14561.5	17173	15905	22518	18316.5	15444.5	14771	15055	15339	15898	14060	16349	15411	14777	15458	14240	14168	15022	22572	15613	16753	13178.5	14084	14749	15022	14904.5	16454.5	15275	14084	16615	14164	14638	15566	16241	14327.5	16457.5	13190	15983.5	14507	17033	16613	13853	15156.5	15514.5	18698	16335	17435.5	18211	15663	14029	
P95	7833	19469	22945	37188	107035	70991	29428	30664	29645.5	532313	29624	29978	158475	16920	25641	290647	30779	29528	27262	31133	524625	29652	31547	33064	44064	28562	32275	34317	30628	31181	31459	28831	29640	28934	25971	28757	29459	31834	283867.5	28800	29962	24767	27378	30067	35965	29652	28896.5	264429	28690	28621	30171	29102	29787	215145.5	550422	46225	28211	30174	26070	33307	29393	48297	26829	33710	23735	557035	36781	25604	28679	27237	29534	30294	30211	37974	32777	277268	
P99	8887	63792	112773	272402	120563	322926	30897	31128	32978	542321	29807	33043	716365	19624	49752	449346	296160	31773	554027	32429	545617	30789	41070	261722	291002	29188	555232	151036	532864	33466	41685	554978	515263	33350	29678	35779	35737	1397323	840935	31169	304973	24981	29711	37689	160660	278037	30495	512281	28922	156211	273338	2286273	32884	612516	778280	77237	30950	279706	27691	274897	537869	65340	26829	551206	28999	557035	75228	30621	32448	481511	764260	68899	1741976	116861	101079	545532	
MAX	19044	183167	549327	285042	120563	322926	30897	40212	269776	542321	29807	39098	1089638	29496	49752	449346	541161	31773	554027	32429	545617	39256	263288	261722	291002	29188	555232	151036	532864	33466	41685	554978	515263	42307	29678	50952	46364	1397323	840935	31169	517977	24981	31532	284489	160660	569921	30495	512281	29117	156211	273338	2286273	32884	612516	778280	77237	30950	543668	27691	274897	537869	81676	26829	551206	28999	557035	573754	30621	32448	481511	764260	86879	1741976	116861	101079	676410	
DELIVERY
MIN	7408	8610	10559	13148	11967	9077	12976	14021	12976	13114	13174	13166	13536	12748	13027	12659	19741	13506	12901	13143	15161	14958	14574	15647	14392	12762	25459	15580	14099	13461	13879	12830	13015	12888	13744	13046	14550	7596	13096	13823	15074	13192	13236	14684	13678	13049	13381	12684	13210	14062	14764	12667	12917	13501	9805	12894	26354	12883	12800	15833	14035	12735	15113	13256	13798	13020	13461	12623	14441	12939	
P50	7904.5	12735.5	20431	20953.5	13042.5	16332	15592	15759	21926	15264	15374.5	13761	13875	13211	14062.5	15015	24246	22739	15559.5	13585	22200	18663	23594	22583.5	17818	13838	30392	24348	22337.5	21846	15084	13413	14628.5	13450.5	19130	14741	22689	14030	14587	13823	22578	14178	14074	15605	27241	14269	15420	14165	14866	14168	23223	22979	23001	24172	13780	20626	44081	23481.5	14238	15833	18412	13105	21858.5	286667.5	16537	14534	18152	13901	20259	16238	
P95	10798	26987	35352	28926	17016	25718	30423	22546	25808	24882	16734	14740	14364	13496	161486	29883	24675	34171	25605	25851	25037	20532	24299	29520	502658	28586	32979	284997	30576	25142	23552	268209	28753	14309	44522	18004	35100	24955	22763	13823	73206	23812	23760	15838	29540	25347	28595	19330	32732	23062	35452	288195	261704	32263	15322	29264	61808	34080	30396	15833	34717	13475	28604	560079	31621	30248	22843	14480	26077	26581	
P99	34774	80082	36148	28926	17016	25718	30423	22546	25808	24882	16734	14740	14364	13496	161486	523484	24675	34171	25605	25851	25037	20532	24299	29520	502658	28586	32979	284997	30576	25142	23552	268209	28753	14309	44522	18004	35100	24955	22763	13823	73206	23812	23760	15838	29540	25347	28595	19330	32732	23062	35452	288195	261704	32263	15322	29264	61808	34080	30396	15833	34717	13475	28604	560079	31621	30248	22843	14480	26077	26581	
MAX	34774	80082	36148	28926	17016	25718	30423	22546	25808	24882	16734	14740	14364	13496	161486	523484	24675	34171	25605	25851	25037	20532	24299	29520	502658	28586	32979	284997	30576	25142	23552	268209	28753	14309	44522	18004	35100	24955	22763	13823	73206	23812	23760	15838	29540	25347	28595	19330	32732	23062	35452	288195	261704	32263	15322	29264	61808	34080	30396	15833	34717	13475	28604	560079	31621	30248	22843	14480	26077	26581	
SLEV
MIN	6889	7239	11059	13723	13667	14094	15463	12201	12213	12280	21781	13034	11552	12544	13035	13675	13008	12874	14166	14045	9245	12859	14329	15214	14779	14655	14219	12618	13154	13941	14683	22577	11818	15305	17003	12937	13048	22308	14062	13471	13732	12923	12685	14133	24174	23008	12117	12663	12629	12454	13236	12385	13493	12060	13193	13391	13229	12828	13398	12962	12712	27569	11184	12982	14720	13023	25272	12817	13395	16150	13973	13455	14720	12802	12865	
P50	7389	11374.5	13601.5	18133	19352	17686	16213	13544	13619	13019.5	23121	15563	13093	13236	28143.5	13957	20280.5	16217	14995	23097	9245	13893	20276	17321	19309	14938	15260.5	18486	14718	15189.5	16565	28073	15053	15305	19048	18935	13869	23753.5	14407	13569	14507	18615	15510	19779.5	27037	27025.5	12953	16945	14471	14136.5	15249	16698.5	19091.5	15059	19308	21919.5	13695	18033.5	17717.5	13291	13885	29198	11184	16585	18259	17435.5	25272	16169	26397	16150	25404	14844	20882	13645	13896	
P95	9027	56912	27838	28797	25037	29161	25499	24229	25130	21897	33755	16973	14871	13576	64432	31569	25517	29083	15184	30959	9245	26507	31655	25410	30506	19144	24980	29122	27721	31488	18934	41190	22299	15305	29268	36428	23668	25199	24294	509965	23463	534998	526579	24717	28692	34107	27370	18629	23223	15659	29207	24957	44920	22559	28283	30448	27387	31655	22037	22896	25902	30827	11184	29418	27713	44690	25272	32628	533757	16150	32074	16233	1158523	14488	521027	
P99	14437	64920	27961	1070623	25037	29505	25499	31271	25130	21897	33755	16973	14871	13576	64432	31569	25591	29083	15184	30959	9245	26507	31655	25410	30506	19144	24980	29122	27721	31488	18934	41190	22299	15305	29268	36428	23668	25199	24294	509965	23463	534998	535386	24717	28692	34107	27370	18629	24602	15659	29207	24957	44920	22559	28283	30448	27387	31655	22037	22896	25902	30827	11184	29418	27713	44690	25272	32628	533757	16150	32074	16233	1158523	14488	521027	
MAX	17233	64920	27961	1070623	25037	29505	25499	31271	25130	21897	33755	16973	14871	13576	64432	31569	25591	29083	15184	30959	9245	26507	31655	25410	30506	19144	24980	29122	27721	31488	18934	41190	22299	15305	29268	36428	23668	25199	24294	509965	23463	534998	535386	24717	28692	34107	27370	18629	24602	15659	29207	24957	44920	22559	28283	30448	27387	31655	22037	22896	25902	30827	11184	29418	27713	44690	25272	32628	533757	16150	32074	16233	1158523	14488	521027	
OSTAT
MIN	6286	6654	8383	12335	20789	7581	11868	12436	11241	12714	11807	12079	12929	13580	11364	12459	13281	12929	12803	15453	13169	12411	12344	29139	12303	11894	8921	13186	24597	14521	21698	12721	12356	11861	11198	13064	15426	12901	18071	7361	12003	15119	13220	20665	14078	13557	11967	13095	13505	13727	8341	12729	13532	14189	18877	13651	11473	14240	13157	12651	15191	16551	12797	13660	35588	12879	13199	12708	13824	11919	12438	13469	13350	12750	12216	
P50	6645.5	11239	15636.5	19819	26762.5	11287	17785.5	13330.5	16628	13860.5	21019.5	13512	13510.5	13680	12217	15507	19572	14071	16215	15453	14293	13749	15722.5	123756	13900.5	11894	14481	14872	29801.5	15768	21698	14547	13194.5	18387.5	27009	16543	15841	13948	22476	13054	12646.5	22291.5	15219	28751	15515	13987	11967	15980.5	18352	14492	14809.5	13838.5	13937.5	14189	28246	15379	13352	28854.5	27637	13004	23756	31112	15939.5	21245	35588	13609	18771.5	22645	14382	11919	20442	13675	19875	12854	13884	
P95	7924	17240	24289	33104	32736	17331	30230	13934	573596	25904	30481	28796	1111604	19549	13927	22532	557348	244439	31764	15453	29899	30000	27287	218373	41741	11894	30700	566857	262905	16493	21698	28454	14651	26466	32342	24843	25139	23084	28928	23621	13290	29283	27378	35000	59199	21139	11967	18866	36602	24058	28372	14948	26265	14189	37615	29898	28235	66278	29153	13755	67958	45673	532549	28939	35588	27791	28494	24253	19003	11919	28446	13829	28355	19645	15076	
P99	15103	19805	27663	33268	32736	17331	31750	13934	573596	25904	30481	28796	1111604	19549	13927	25169	557348	244439	31764	15453	29899	30589	27287	218373	41741	11894	30700	566857	262905	16493	21698	28454	14651	26466	32342	32665	25139	23084	28928	23621	13290	29283	27378	35000	59199	21139	11967	18866	36602	24058	28372	14948	26265	14189	37615	29898	28235	66278	29153	13755	67958	45673	532549	28939	35588	27791	28494	24253	19003	11919	28446	13829	28355	19645	15076	
MAX	15103	19805	27663	33268	32736	17331	31750	13934	573596	25904	30481	28796	1111604	19549	13927	25169	557348	244439	31764	15453	29899	30589	27287	218373	41741	11894	30700	566857	262905	16493	21698	28454	14651	26466	32342	32665	25139	23084	28928	23621	13290	29283	27378	35000	59199	21139	11967	18866	36602	24058	28372	14948	26265	14189	37615	29898	28235	66278	29153	13755	67958	45673	532549	28939	35588	27791	28494	24253	19003	11919	28446	13829	28355	19645	15076	
